NA,0,1,2,3,4,5.0,6.0,7,8,9,10,11,12,13,14,15,16,17,18.0,19.0,20.0,21,22.0,23,24,25.0,26,27,28.0,29,30,31.0,32,33.0,34,35,36.0,37,38,39,40,41,42,43,44,45.0,46.0,47.0,48.0,49,50,51,52.0,53,54,55.0,56.0,57,58.0,59,60,61,62,63.0,64,65,66,67,68,69.0,70,71,72.0,73,74,75,76,77,78,79,80.0,81.0,82.0,83.0,84,85.0,86,87.0,88,89.0,90.0,91,92,93.0,94,95
21.0,78.0,107.0,50.0,87.0,64.0,91.0,76.0,72.0,85.0,61.0,53.0,33.0,59.0,54.0,57.0,39.0,71.0,49.0,75.0,58.0,77.0,40.0,103.0,58.0,51.0,43.0,80.0,64.0,62.0,91.0,63.0,58.0,47.0,65.0,26.0,66.0,117.0,50.0,75.0,62.0,70.0,76.0,,58.0,,71.0,78.0,71.0,49.0,88.0,50.0,81.0,55.0,63.0,94.0,37.0,59.0,,72.0,101.0,46.0,,82.0,79.0,66.0,54.0,90.0,94.0,,60.0,,,91.0,85.0,85.0,,42.0,74.0,101.0,50.0,99.0,73.0,76.0,92.0,62.0,78.0,83.0,70.0,53.0,65.0,71.0,97.0,,83.0,47.0,74.0
28.0,75.0,104.0,46.0,83.0,62.0,87.0,73.0,73.0,84.0,60.0,51.0,29.0,57.0,54.0,56.0,33.0,65.0,45.0,71.0,58.0,77.0,34.0,104.0,54.0,51.0,39.0,79.0,65.0,60.0,90.0,61.0,67.0,47.0,61.0,25.0,62.0,109.0,48.0,71.0,63.0,66.0,72.0,,60.0,100.0,67.0,79.0,71.0,47.0,81.0,48.0,75.0,47.0,64.0,91.0,45.0,64.0,113.0,70.0,93.0,40.0,109.0,71.0,82.0,62.0,48.0,91.0,106.0,,59.0,,,88.0,82.0,88.0,98.0,38.0,71.0,100.0,44.0,99.0,73.0,70.0,91.0,60.0,79.0,77.0,70.0,49.0,73.0,68.0,91.0,,80.0,42.0,71.0
35.0,73.0,99.0,42.0,79.0,58.0,83.0,73.0,67.0,85.0,57.0,50.0,25.0,54.0,51.0,59.0,29.0,62.0,44.0,70.0,59.0,78.0,33.0,106.0,53.0,50.0,38.0,75.0,62.0,57.0,88.0,61.0,68.0,48.0,62.0,22.0,60.0,114.0,48.0,68.0,62.0,64.0,72.0,,53.0,93.0,64.0,80.0,69.0,41.0,74.0,47.0,69.0,52.0,63.0,91.0,40.0,61.0,107.0,70.0,87.0,41.0,106.0,68.0,75.0,63.0,44.0,105.0,107.0,,58.0,,,92.0,84.0,91.0,102.0,34.0,67.0,104.0,39.0,99.0,74.0,65.0,92.0,55.0,76.0,71.0,62.0,43.0,77.0,68.0,89.0,,82.0,37.0,70.0
42.0,71.0,93.0,40.0,76.0,55.0,81.0,70.0,66.0,84.0,53.0,45.0,24.0,53.0,49.0,58.0,26.0,59.0,41.0,68.0,55.0,79.0,30.0,105.0,49.0,48.0,36.0,74.0,58.0,52.0,86.0,59.0,68.0,44.0,60.0,20.0,56.0,115.0,44.0,66.0,53.0,62.0,65.0,,59.0,91.0,57.0,81.0,60.0,37.0,74.0,38.0,65.0,51.0,61.0,88.0,38.0,62.0,107.0,72.0,85.0,39.0,102.0,64.0,75.0,64.0,40.0,106.0,107.0,,57.0,,,95.0,84.0,89.0,87.0,31.0,60.0,110.0,38.0,95.0,77.0,58.0,90.0,45.0,78.0,73.0,63.0,42.0,84.0,68.0,88.0,,84.0,36.0,66.0
49.0,68.0,88.0,37.0,70.0,52.0,83.0,68.0,65.0,82.0,52.0,41.0,22.0,50.0,47.0,56.0,23.0,51.0,37.0,63.0,54.0,77.0,28.0,102.0,47.0,46.0,35.0,72.0,57.0,52.0,82.0,60.0,64.0,38.0,60.0,20.0,52.0,101.0,39.0,64.0,49.0,59.0,59.0,,58.0,79.0,45.0,79.0,57.0,35.0,68.0,31.0,57.0,45.0,59.0,83.0,35.0,61.0,103.0,71.0,78.0,37.0,96.0,62.0,75.0,62.0,37.0,111.0,103.0,,55.0,,,98.0,82.0,88.0,83.0,31.0,59.0,100.0,33.0,90.0,86.0,59.0,85.0,42.0,77.0,65.0,57.0,36.0,80.0,64.0,82.0,,86.0,40.0,59.0
56.0,66.0,81.0,35.0,66.0,49.0,80.0,66.0,61.0,84.0,48.0,39.0,21.0,47.0,45.0,57.0,22.0,47.0,36.0,62.0,53.0,76.0,27.0,100.0,44.0,42.0,34.0,74.0,52.0,49.0,82.0,56.0,49.0,35.0,57.0,19.0,46.0,100.0,39.0,60.0,46.0,60.0,57.0,,54.0,81.0,42.0,78.0,59.0,30.0,63.0,26.0,56.0,41.0,56.0,81.0,33.0,54.0,99.0,69.0,79.0,33.0,90.0,59.0,70.0,63.0,37.0,102.0,96.0,,53.0,,,104.0,82.0,90.0,93.0,29.0,58.0,105.0,32.0,96.0,84.0,61.0,87.0,47.0,74.0,67.0,54.0,31.0,74.0,59.0,83.0,,85.0,44.0,57.0
63.0,64.0,74.0,35.0,58.0,48.0,79.0,63.0,61.0,84.0,46.0,34.0,19.0,48.0,45.0,53.0,20.0,42.0,33.0,60.0,53.0,71.0,24.0,95.0,39.0,38.0,31.0,72.0,48.0,47.0,79.0,52.0,52.0,31.0,55.0,18.0,42.0,94.0,36.0,59.0,41.0,57.0,51.0,,53.0,82.0,41.0,76.0,55.0,29.0,61.0,19.0,55.0,35.0,54.0,82.0,30.0,48.0,87.0,69.0,77.0,36.0,78.0,57.0,70.0,60.0,36.0,78.0,90.0,,53.0,,,106.0,75.0,91.0,83.0,30.0,57.0,115.0,29.0,100.0,87.0,60.0,88.0,42.0,74.0,68.0,57.0,30.0,70.0,54.0,86.0,,74.0,45.0,50.0
70.0,62.0,72.0,35.0,54.0,47.0,74.0,61.0,58.0,81.0,44.0,31.0,19.0,45.0,45.0,54.0,20.0,39.0,34.0,58.0,53.0,66.0,24.0,95.0,38.0,36.0,31.0,71.0,47.0,45.0,80.0,49.0,52.0,30.0,52.0,18.0,42.0,88.0,34.0,58.0,44.0,58.0,54.0,,45.0,79.0,37.0,74.0,54.0,29.0,57.0,21.0,52.0,34.0,53.0,79.0,34.0,45.0,84.0,66.0,77.0,39.0,75.0,54.0,70.0,62.0,35.0,72.0,87.0,,50.0,,,100.0,72.0,92.0,83.0,30.0,61.0,106.0,28.0,101.0,77.0,62.0,88.0,45.0,72.0,64.0,55.0,28.0,70.0,50.0,86.0,,68.0,47.0,46.0
77.0,60.0,72.0,34.0,50.0,46.0,67.0,59.0,54.0,79.0,40.0,31.0,19.0,43.0,45.0,57.0,18.0,40.0,35.0,56.0,52.0,65.0,23.0,91.0,34.0,31.0,29.0,71.0,45.0,41.0,79.0,45.0,50.0,31.0,49.0,17.0,43.0,88.0,33.0,56.0,43.0,58.0,53.0,,40.0,78.0,39.0,71.0,50.0,27.0,55.0,24.0,53.0,32.0,51.0,75.0,34.0,41.0,83.0,60.0,81.0,30.0,70.0,52.0,68.0,58.0,35.0,67.0,92.0,,47.0,,,95.0,69.0,90.0,84.0,29.0,56.0,104.0,28.0,94.0,65.0,60.0,88.0,41.0,68.0,61.0,51.0,28.0,64.0,55.0,88.0,,57.0,40.0,45.0
84.0,57.0,72.0,33.0,46.0,44.0,63.0,56.0,51.0,76.0,40.0,28.0,19.0,40.0,45.0,57.0,17.0,40.0,35.0,54.0,50.0,61.0,21.0,89.0,32.0,29.0,27.0,68.0,44.0,37.0,77.0,43.0,50.0,28.0,48.0,18.0,40.0,85.0,30.0,58.0,40.0,56.0,61.0,44.0,32.0,73.0,35.0,70.0,42.0,27.0,54.0,27.0,52.0,28.0,51.0,74.0,33.0,37.0,78.0,58.0,76.0,35.0,71.0,53.0,64.0,50.0,33.0,71.0,88.0,,46.0,,,89.0,69.0,84.0,83.0,27.0,57.0,98.0,32.0,85.0,63.0,58.0,83.0,33.0,66.0,52.0,55.0,26.0,60.0,56.0,84.0,,50.0,31.0,41.0
91.0,57.0,74.0,33.0,47.0,43.0,63.0,54.0,49.0,77.0,39.0,30.0,19.0,35.0,46.0,58.0,16.0,39.0,37.0,53.0,48.0,61.0,21.0,85.0,32.0,29.0,26.0,67.0,46.0,37.0,75.0,45.0,52.0,27.0,48.0,17.0,40.0,81.0,33.0,58.0,40.0,57.0,58.0,40.0,32.0,65.0,32.0,66.0,40.0,29.0,53.0,27.0,50.0,32.0,50.0,71.0,37.0,36.0,76.0,51.0,77.0,37.0,71.0,51.0,62.0,47.0,32.0,80.0,94.0,,43.0,,66.0,85.0,72.0,81.0,79.0,28.0,55.0,82.0,31.0,78.0,56.0,55.0,84.0,34.0,62.0,51.0,52.0,24.0,56.0,52.0,82.0,,51.0,27.0,34.0
98.0,56.0,75.0,33.0,46.0,42.0,61.0,52.0,44.0,78.0,37.0,28.0,19.0,33.0,45.0,55.0,15.0,38.0,39.0,50.0,47.0,60.0,19.0,78.0,29.0,28.0,24.0,64.0,45.0,36.0,71.0,43.0,59.0,25.0,46.0,16.0,36.0,83.0,34.0,53.0,35.0,56.0,51.0,52.0,32.0,61.0,33.0,61.0,38.0,27.0,52.0,23.0,47.0,30.0,47.0,69.0,34.0,32.0,73.0,45.0,76.0,31.0,63.0,50.0,60.0,42.0,32.0,84.0,97.0,,43.0,,85.0,88.0,75.0,79.0,77.0,25.0,53.0,83.0,28.0,71.0,55.0,48.0,87.0,31.0,54.0,48.0,49.0,21.0,51.0,52.0,78.0,,54.0,25.0,33.0
105.0,55.0,73.0,32.0,45.0,41.0,60.0,50.0,41.0,79.0,37.0,26.0,19.0,29.0,44.0,52.0,15.0,36.0,37.0,50.0,45.0,54.0,19.0,76.0,28.0,30.0,24.0,60.0,42.0,36.0,67.0,41.0,59.0,22.0,43.0,15.0,34.0,85.0,34.0,49.0,34.0,55.0,47.0,58.0,32.0,58.0,31.0,64.0,39.0,26.0,51.0,20.0,45.0,30.0,47.0,71.0,31.0,33.0,63.0,44.0,71.0,32.0,63.0,47.0,54.0,38.0,33.0,87.0,93.0,,43.0,,95.0,86.0,73.0,81.0,69.0,24.0,55.0,82.0,27.0,73.0,63.0,48.0,90.0,29.0,54.0,54.0,52.0,21.0,55.0,43.0,73.0,,48.0,31.0,39.0
